factor,sweep_value,onset_ms,dur_ms,vel_bins,vocab_size,num_files,total_original_tokens,total_bpe_tokens,reduction_ratio,compression_factor
duration,1,10,1,128,28577,115355,2783415025,1680043258,0.6035906406016472,1.6567519983464616
duration,2,10,2,128,23579,115355,2783415025,1659787031,0.596313167850346,1.6769711854677096
duration,5,10,5,128,20580,115355,2783415025,1634227904,0.5871305174836441,1.703198812226376
duration,10,10,10,128,19580,115355,2783415025,1600230887,0.5749163788465215,1.739383389992022
duration,20,10,20,128,19080,115355,2783415025,1531584701,0.5502538023412444,1.8173431891704435
