vocab_size,num_files,total_original_tokens,total_bpe_tokens,reduction_ratio,compression_factor
11900,115182,2778022295,2001954003,0.7206400058787146,1.38765540608677
12412,115182,2778022295,1897891003,0.6831806232858185,1.4637417483979716
13436,115182,2778022295,1795877634,0.6464590429069973,1.546888408433734
15484,115182,2778022295,1697207835,0.610941041781668,1.6368191553864704
19580,115182,2778022295,1597419801,0.5750205114894515,1.7390683984641555
27772,115182,2778022295,1494024959,0.5378016446048717,1.8594216102383065
